ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
1,Піхота,12.37,14.83,21.97,
3,Піхота,29.7,32.17,47.37,
4,Авто,25.7,28.17,,
7,БМП,15.77,18.23,33.37,
