Параметр,Значення
Сценарій,auction
MAP_SEED,7
Раундів консенсусу,0
Втрат дронів,15
Втрат від РЕБ,10
Втрат камікадзе (продуктивних),5
Втрат від батареї (змарнованих),0
Знищено цілей,3
Дронів на знищену ціль,1.67
Аукціонів проведено,11
Перекриття зон (>1 дрон),45
Фінальне покриття (%),38.6
Середній час відновлення (с),0.0
Час місії (с),82.5
