Час (с),ID дрона,Причина
21.97,2,kamikaze
25.83,4,reb
27.63,3,kamikaze
30.0,7,kamikaze
33.37,12,kamikaze
37.77,13,reb
44.83,9,reb
44.93,6,reb
47.37,11,kamikaze
52.4,5,reb
57.33,1,reb
64.57,0,reb
67.67,8,reb
78.0,14,reb
82.53,10,reb
