Параметр,Значення
Сценарій,swarm_only
MAP_SEED,256
Раундів консенсусу,0
Втрат дронів,13
Втрат від РЕБ,13
Втрат камікадзе (продуктивних),0
Втрат від батареї (змарнованих),0
Знищено цілей,0
Дронів на знищену ціль,N/A
Аукціонів проведено,0
Перекриття зон (>1 дрон),91
Фінальне покриття (%),91.9
Середній час відновлення (с),N/A
Час місії (с),257.6
