ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
0,Піхота,155.9,158.37,,
1,Піхота,157.6,160.07,,
3,Піхота,75.13,77.6,,
4,Авто,46.2,48.67,,
5,Авто,102.77,105.23,,
6,Авто,50.07,52.53,,
7,БМП,71.53,74.0,,
8,БМП,143.0,145.47,,
10,Піхота,33.93,36.4,,
11,Піхота,41.57,44.03,,
