Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,11.4,15
12.0,13.8,15
14.0,14.8,15
16.0,16.2,15
18.0,18.1,15
20.0,21.0,15
22.0,22.4,15
24.0,24.3,15
26.0,25.7,15
28.0,27.1,15
30.0,29.5,15
32.0,31.4,15
34.0,33.8,15
36.0,35.7,15
38.0,37.6,15
40.0,39.5,15
42.0,41.9,15
44.0,44.3,15
46.0,47.1,15
48.0,48.6,15
50.0,49.5,15
52.0,51.9,15
54.0,54.3,15
56.0,57.1,15
58.0,59.5,15
60.0,60.5,15
62.0,62.9,15
64.0,63.3,14
66.0,64.3,14
68.0,65.7,14
70.0,66.7,13
72.0,67.1,11
74.0,67.1,11
76.0,68.1,11
78.0,68.6,10
80.0,69.5,10
82.0,69.5,9
84.0,69.5,9
86.0,70.5,8
88.0,71.0,8
90.0,71.4,8
92.0,71.4,8
94.0,71.4,8
96.0,72.4,7
98.0,72.9,7
100.0,73.3,6
102.0,73.8,6
104.0,74.8,6
106.0,75.2,3
108.0,75.2,3
110.0,75.7,3
112.0,76.2,3
114.0,76.7,3
116.0,76.7,2
118.0,77.1,2
120.0,77.6,2
122.0,78.1,2
124.0,78.6,2
126.0,78.6,2
128.0,79.5,2
130.0,79.5,2
132.0,80.0,2
134.0,80.5,2
136.0,81.0,2
138.0,81.4,2
140.0,81.4,2
142.0,81.9,2
144.0,82.4,2
146.0,82.9,2
148.0,83.3,2
150.0,83.3,2
152.0,83.8,2
154.0,83.8,2
156.0,83.8,2
158.0,84.3,2
160.0,84.3,2
162.0,84.8,2
164.0,84.8,2
166.0,84.8,2
168.0,85.2,2
170.0,85.2,2
172.0,85.7,2
174.0,85.7,2
176.0,86.2,2
178.0,86.2,2
180.0,86.2,2
182.0,86.7,2
184.0,86.7,2
186.0,87.1,2
188.0,87.1,2
190.0,87.1,2
192.0,88.1,2
194.0,88.1,2
196.0,89.0,2
198.0,89.0,2
200.0,89.5,2
202.0,90.0,2
204.0,90.0,2
206.0,91.0,2
208.0,91.0,2
210.0,91.9,2
212.0,91.9,2
214.0,91.9,2
216.0,91.9,2
218.0,91.9,2
220.0,91.9,2
222.0,91.9,2
224.0,91.9,2
226.0,91.9,2
228.0,91.9,2
230.0,91.9,2
232.0,91.9,2
234.0,91.9,2
236.0,91.9,2
238.0,91.9,2
240.0,91.9,2
242.0,91.9,2
244.0,91.9,2
246.0,91.9,2
248.0,91.9,2
250.0,91.9,2
252.0,91.9,2
254.0,91.9,2
256.0,91.9,2
