Час (с),ID дрона,Причина
63.7,13,reb
68.53,12,reb
70.13,8,reb
70.3,4,reb
76.7,9,reb
80.03,3,reb
84.9,2,reb
94.37,7,reb
99.57,6,reb
104.63,1,reb
105.23,11,reb
105.27,0,reb
115.97,5,reb
