Параметр,Значення
Сценарій,hybrid
MAP_SEED,42
Раундів консенсусу,79
Втрат дронів,15
Втрат від РЕБ,4
Втрат камікадзе (продуктивних),11
Втрат від батареї (змарнованих),0
Знищено цілей,7
Дронів на знищену ціль,1.57
Аукціонів проведено,10
Перекриття зон (>1 дрон),73
Фінальне покриття (%),82.4
Середній час відновлення (с),N/A
Час місії (с),158.8
