Час (с),ID дрона,Причина
23.5,1,kamikaze
37.57,0,kamikaze
60.93,7,kamikaze
71.3,11,kamikaze
82.2,9,reb
84.33,10,reb
84.5,2,kamikaze
94.07,5,kamikaze
102.1,6,kamikaze
111.43,13,kamikaze
119.43,8,kamikaze
119.83,12,kamikaze
131.37,14,kamikaze
153.07,4,reb
158.83,3,reb
