ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
1,Піхота,67.8,70.27,71.3,
2,Піхота,19.43,21.9,23.5,
3,Піхота,108.2,110.67,111.43,
4,Авто,81.27,83.73,94.07,3
6,Авто,98.73,101.2,119.43,
8,БМП,116.3,118.77,,
10,Піхота,33.67,36.13,37.57,
11,Піхота,57.63,60.1,60.93,
