Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.5,15
8.0,10.5,15
10.0,12.4,15
12.0,13.8,15
14.0,13.8,15
16.0,15.7,15
18.0,17.6,15
20.0,20.0,15
22.0,20.5,15
24.0,22.4,14
26.0,23.3,14
28.0,24.3,14
30.0,27.1,14
32.0,28.1,14
34.0,29.5,14
36.0,31.0,14
38.0,32.9,13
40.0,34.3,13
42.0,36.7,13
44.0,38.1,13
46.0,39.0,13
48.0,41.0,13
50.0,43.3,13
52.0,44.3,13
54.0,46.7,13
56.0,49.0,13
58.0,51.0,13
60.0,52.4,13
62.0,54.3,12
64.0,55.7,12
66.0,56.7,12
68.0,59.0,12
70.0,60.5,12
72.0,62.4,11
74.0,62.9,11
76.0,64.3,11
78.0,65.7,11
80.0,67.1,11
82.0,68.6,11
84.0,69.5,10
86.0,70.0,8
88.0,70.5,8
90.0,71.4,8
92.0,71.9,8
94.0,72.9,8
96.0,74.3,7
98.0,74.3,7
100.0,75.7,7
102.0,76.2,7
104.0,76.7,6
106.0,77.1,6
108.0,77.6,6
110.0,78.1,6
112.0,78.1,5
114.0,78.6,5
116.0,78.6,5
118.0,79.0,5
120.0,79.5,3
122.0,79.5,3
124.0,79.5,3
126.0,80.5,3
128.0,80.5,3
130.0,80.5,3
132.0,80.5,2
134.0,80.5,2
136.0,80.5,2
138.0,80.5,2
140.0,80.5,2
142.0,80.5,2
144.0,80.5,2
146.0,81.0,2
148.0,81.4,2
150.0,81.4,2
152.0,81.4,2
154.0,81.9,1
156.0,82.4,1
158.0,82.4,1
