Час (с),Ціль,ID цілі,Bid значення,Переможці
25.17,Піхота,2,D0=0.50; D1=0.57; D2=0.54; D3=0.60; D4=0.57; D5=0.58; D6=0.64; D7=0.60; D8=0.56; D9=0.56; D10=0.58; D11=0.62; D12=0.52; D13=0.54; D14=0.46,D6
41.23,Авто,4,D0=0.57; D1=0.54; D2=0.50; D3=0.59; D4=0.54; D5=0.55; D7=0.53; D8=0.59; D9=0.51; D10=0.53; D11=0.60; D12=0.46; D13=0.53; D14=0.45,"D11, D8"
42.43,Піхота,10,D0=0.51; D1=0.52; D2=0.48; D3=0.57; D4=0.49; D5=0.53; D7=0.53; D9=0.49; D10=0.55; D12=0.48; D13=0.52; D14=0.43,D3
