Параметр,Значення
Сценарій,auction
MAP_SEED,42
Раундів консенсусу,0
Втрат дронів,4
Втрат від РЕБ,0
Втрат камікадзе (продуктивних),4
Втрат від батареї (змарнованих),0
Знищено цілей,3
Дронів на знищену ціль,1.33
Аукціонів проведено,3
Перекриття зон (>1 дрон),99
Фінальне покриття (%),53.3
Середній час відновлення (с),N/A
Час місії (с),166.4
