Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,10.5,15
12.0,11.4,15
14.0,13.8,15
16.0,14.8,15
18.0,16.2,15
20.0,17.6,15
22.0,19.0,15
24.0,21.4,15
26.0,22.4,15
28.0,23.3,14
30.0,24.8,14
32.0,26.7,14
34.0,28.1,14
36.0,29.0,14
38.0,31.0,14
40.0,32.9,14
42.0,33.8,14
44.0,35.2,14
46.0,36.7,14
48.0,39.0,14
50.0,40.0,14
52.0,41.0,13
54.0,42.4,13
56.0,44.3,13
58.0,45.7,13
60.0,46.7,13
62.0,48.6,12
64.0,49.5,12
66.0,50.0,12
68.0,51.0,11
70.0,51.4,11
72.0,52.4,11
74.0,52.4,11
76.0,52.9,11
78.0,52.9,11
80.0,53.3,11
82.0,53.3,11
84.0,53.3,11
86.0,53.3,11
88.0,53.3,11
90.0,53.3,11
92.0,53.3,11
94.0,53.3,11
96.0,53.3,11
98.0,53.3,11
100.0,53.3,11
102.0,53.3,11
104.0,53.3,11
106.0,53.3,11
108.0,53.3,11
110.0,53.3,11
112.0,53.3,11
114.0,53.3,11
116.0,53.3,11
118.0,53.3,11
120.0,53.3,11
122.0,53.3,11
124.0,53.3,11
126.0,53.3,11
128.0,53.3,11
130.0,53.3,11
132.0,53.3,11
134.0,53.3,11
136.0,53.3,11
138.0,53.3,11
140.0,53.3,11
142.0,53.3,11
144.0,53.3,11
146.0,53.3,11
148.0,53.3,11
150.0,53.3,11
152.0,53.3,11
154.0,53.3,11
156.0,53.3,11
158.0,53.3,11
160.0,53.3,11
162.0,53.3,11
164.0,53.3,11
166.0,53.3,11
