Параметр,Значення
Сценарій,greedy
MAP_SEED,7
Раундів консенсусу,0
Втрат дронів,15
Втрат від РЕБ,11
Втрат камікадзе (продуктивних),4
Втрат від батареї (змарнованих),0
Знищено цілей,2
Дронів на знищену ціль,2.0
Аукціонів проведено,0
Перекриття зон (>1 дрон),59
Фінальне покриття (%),42.4
Середній час відновлення (с),N/A
Час місії (с),164.7
