Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,10.5,15
12.0,11.4,15
14.0,13.8,15
16.0,14.8,15
18.0,15.7,14
20.0,17.1,13
22.0,18.6,13
24.0,20.0,13
26.0,21.0,13
28.0,22.4,13
30.0,23.3,13
32.0,25.7,13
34.0,26.7,12
36.0,28.1,10
38.0,29.5,9
40.0,30.0,8
42.0,31.0,8
44.0,31.0,8
46.0,31.9,8
48.0,32.4,8
50.0,32.9,8
52.0,33.8,8
54.0,33.8,8
56.0,35.2,8
58.0,35.2,7
60.0,35.7,7
62.0,36.7,7
64.0,36.7,7
66.0,37.1,7
68.0,37.6,6
70.0,38.1,6
72.0,38.6,6
74.0,39.0,5
76.0,39.5,5
78.0,40.0,5
80.0,40.5,5
82.0,41.0,5
84.0,41.0,5
86.0,41.4,4
88.0,41.4,4
90.0,41.9,4
92.0,41.9,4
94.0,41.9,4
96.0,42.4,4
98.0,42.4,3
100.0,42.4,2
102.0,42.4,2
104.0,42.4,2
106.0,42.4,2
108.0,42.4,2
110.0,42.4,2
112.0,42.4,2
114.0,42.4,2
116.0,42.4,2
118.0,42.4,2
120.0,42.4,2
122.0,42.4,2
124.0,42.4,2
126.0,42.4,2
128.0,42.4,2
130.0,42.4,2
132.0,42.4,2
134.0,42.4,1
136.0,42.4,1
138.0,42.4,1
140.0,42.4,1
142.0,42.4,1
144.0,42.4,1
146.0,42.4,1
148.0,42.4,1
150.0,42.4,1
152.0,42.4,1
154.0,42.4,1
156.0,42.4,1
158.0,42.4,1
160.0,42.4,1
162.0,42.4,1
164.0,42.4,1
