Час (с),ID дрона,Причина
16.2,7,kamikaze
19.23,4,kamikaze
33.77,9,kamikaze
34.53,11,reb
35.37,3,reb
37.8,13,reb
39.1,2,reb
57.37,1,reb
67.3,8,reb
73.53,12,reb
85.3,6,reb
97.93,14,kamikaze
98.73,10,reb
132.4,5,reb
164.7,0,reb
