Параметр,Значення
Сценарій,greedy
MAP_SEED,42
Раундів консенсусу,0
Втрат дронів,4
Втрат від РЕБ,0
Втрат камікадзе (продуктивних),4
Втрат від батареї (змарнованих),0
Знищено цілей,2
Дронів на знищену ціль,2.0
Аукціонів проведено,0
Перекриття зон (>1 дрон),99
Фінальне покриття (%),56.2
Середній час відновлення (с),N/A
Час місії (с),203.8
