Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,10.5,15
12.0,11.4,15
14.0,13.8,15
16.0,14.8,15
18.0,16.2,15
20.0,17.6,15
22.0,19.0,15
24.0,21.4,15
26.0,22.4,15
28.0,23.3,14
30.0,24.8,14
32.0,26.7,14
34.0,28.1,14
36.0,29.0,14
38.0,31.0,14
40.0,32.9,14
42.0,33.8,13
44.0,35.2,12
46.0,36.2,12
48.0,38.1,12
50.0,38.6,12
52.0,39.5,12
54.0,41.0,12
56.0,42.4,12
58.0,43.8,12
60.0,44.3,12
62.0,45.7,12
64.0,46.2,12
66.0,47.6,12
68.0,48.1,12
70.0,49.5,12
72.0,50.0,12
74.0,50.0,12
76.0,51.9,12
78.0,51.9,12
80.0,51.9,12
82.0,52.9,12
84.0,52.9,12
86.0,53.3,12
88.0,53.8,12
90.0,53.8,12
92.0,54.3,12
94.0,54.3,12
96.0,54.3,12
98.0,55.2,12
100.0,55.2,12
102.0,55.7,12
104.0,55.7,12
106.0,56.2,12
108.0,56.2,11
110.0,56.2,11
112.0,56.2,11
114.0,56.2,11
116.0,56.2,11
118.0,56.2,11
120.0,56.2,11
122.0,56.2,11
124.0,56.2,11
126.0,56.2,11
128.0,56.2,11
130.0,56.2,11
132.0,56.2,11
134.0,56.2,11
136.0,56.2,11
138.0,56.2,11
140.0,56.2,11
142.0,56.2,11
144.0,56.2,11
146.0,56.2,11
148.0,56.2,11
150.0,56.2,11
152.0,56.2,11
154.0,56.2,11
156.0,56.2,11
158.0,56.2,11
160.0,56.2,11
162.0,56.2,11
164.0,56.2,11
166.0,56.2,11
168.0,56.2,11
170.0,56.2,11
172.0,56.2,11
174.0,56.2,11
176.0,56.2,11
178.0,56.2,11
180.0,56.2,11
182.0,56.2,11
184.0,56.2,11
186.0,56.2,11
188.0,56.2,11
190.0,56.2,11
192.0,56.2,11
194.0,56.2,11
196.0,56.2,11
198.0,56.2,11
200.0,56.2,11
202.0,56.2,11
