Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.5,15
8.0,10.5,15
10.0,12.4,15
12.0,13.8,15
14.0,13.8,15
16.0,15.7,15
18.0,17.6,15
20.0,20.0,15
22.0,20.5,15
24.0,22.9,15
26.0,23.8,15
28.0,24.8,15
30.0,28.1,15
32.0,29.0,15
34.0,31.0,15
36.0,32.4,15
38.0,34.3,15
40.0,36.2,14
42.0,38.6,14
44.0,40.5,14
46.0,41.4,14
48.0,43.8,14
50.0,46.2,14
52.0,47.6,14
54.0,50.5,14
56.0,52.4,14
58.0,53.8,14
60.0,55.7,14
62.0,57.6,14
64.0,58.6,14
66.0,59.5,14
68.0,61.9,14
70.0,63.3,14
72.0,64.3,13
74.0,66.2,12
76.0,67.1,12
78.0,67.1,12
80.0,69.0,11
82.0,69.5,11
84.0,70.0,9
86.0,70.5,6
88.0,71.0,6
90.0,71.4,6
92.0,71.9,6
94.0,72.4,5
96.0,72.4,4
98.0,72.4,4
100.0,72.4,4
102.0,72.4,4
104.0,72.4,4
106.0,72.4,4
108.0,72.4,4
110.0,72.4,3
112.0,72.4,3
114.0,72.4,3
116.0,72.4,3
118.0,72.4,3
120.0,72.4,3
122.0,72.4,3
124.0,72.4,3
126.0,72.4,3
128.0,72.4,3
130.0,72.4,3
132.0,72.4,3
134.0,72.4,3
136.0,72.4,3
138.0,72.4,3
140.0,72.4,3
142.0,72.4,3
144.0,72.4,3
146.0,72.4,3
148.0,72.4,3
150.0,72.4,3
152.0,72.4,3
154.0,72.4,3
156.0,72.4,3
158.0,72.4,3
160.0,72.4,3
162.0,72.4,3
164.0,72.4,3
166.0,72.9,3
168.0,72.9,3
170.0,72.9,3
172.0,72.9,3
174.0,72.9,3
176.0,72.9,3
178.0,72.9,3
180.0,73.3,3
182.0,73.3,3
184.0,73.3,3
186.0,73.8,3
188.0,73.8,3
190.0,73.8,3
192.0,73.8,3
194.0,74.8,3
196.0,74.8,3
198.0,74.8,3
200.0,74.8,3
202.0,75.7,3
204.0,75.7,3
206.0,75.7,3
208.0,75.7,3
210.0,75.7,2
