Параметр,Значення
Сценарій,hybrid
MAP_SEED,256
Раундів консенсусу,105
Втрат дронів,13
Втрат від РЕБ,1
Втрат камікадзе (продуктивних),12
Втрат від батареї (змарнованих),0
Знищено цілей,6
Дронів на знищену ціль,2.0
Аукціонів проведено,6
Перекриття зон (>1 дрон),87
Фінальне покриття (%),75.7
Середній час відновлення (с),N/A
Час місії (с),210.0
