ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
4,Авто,43.77,46.23,72.13,
6,Авто,69.43,71.9,93.63,
7,БМП,68.17,70.63,83.5,
8,БМП,79.5,81.97,109.97,
10,Піхота,33.93,36.4,38.4,
11,Піхота,61.43,63.9,84.17,
