Час (с),Ціль,ID цілі,Bid значення,Переможці
36.4,Піхота,10,D0=0.53; D1=0.59; D2=0.55,D1
46.23,Авто,4,D6=0.55; D7=0.59; D8=0.50,"D7, D6"
63.9,Піхота,11,D8=0.47,D8
70.63,БМП,7,D9=0.50; D10=0.49; D11=0.45,"D9, D10, D11"
71.9,Авто,6,D0=0.43; D2=0.43; D3=0.50; D4=0.53; D5=0.46; D12=0.34; D13=0.37; D14=0.40,"D4, D3"
81.97,БМП,8,D12=0.39; D13=0.44; D14=0.47,"D14, D13, D12"
