Час (с),ID дрона,Причина
38.4,1,kamikaze
71.7,7,kamikaze
72.13,6,kamikaze
79.87,9,kamikaze
83.07,11,kamikaze
83.5,10,kamikaze
84.17,8,kamikaze
84.23,14,kamikaze
84.37,4,kamikaze
93.63,3,kamikaze
95.1,13,kamikaze
109.97,12,kamikaze
208.5,2,reb
