ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
0,Піхота,109.6,112.07,114.1,
2,Піхота,13.53,16.0,16.83,
3,Піхота,135.27,137.73,139.13,
4,Авто,27.67,30.13,36.97,
5,Авто,80.87,83.33,98.53,
6,Авто,14.0,16.47,28.7,
7,БМП,111.1,113.57,129.6,8;7
10,Піхота,30.63,33.1,48.7,
11,Піхота,58.27,60.73,68.5,
