Час (с),Ціль,ID цілі,Bid значення,Переможці
16.0,Піхота,2,D0=0.56; D1=0.65; D2=0.60,D1
16.47,Авто,6,D3=0.57; D4=0.61; D5=0.58,"D4, D5"
30.13,Авто,4,D0=0.54; D2=0.56,"D2, D0"
33.1,Піхота,10,D6=0.67; D7=0.66; D8=0.51,D6
60.73,Піхота,11,D3=0.47,D3
83.33,Авто,5,D9=0.46; D10=0.47; D11=0.47,"D11, D10"
112.07,Піхота,0,D12=0.40; D13=0.48; D14=0.48,D13
113.57,БМП,7,D12=0.40; D14=0.49,"D14, D12"
113.57,БМП,7,D7=0.34; D8=0.37; D9=0.42,"D9, D8, D7"
137.73,Піхота,3,D7=0.44; D8=0.46,D8
