Час (с),ID дрона,Причина
16.83,1,kamikaze
18.97,4,kamikaze
28.7,5,kamikaze
31.4,2,kamikaze
36.97,0,kamikaze
48.7,6,kamikaze
68.5,3,kamikaze
84.13,11,kamikaze
98.53,10,kamikaze
114.1,13,kamikaze
114.37,14,kamikaze
123.57,9,kamikaze
129.6,12,kamikaze
139.13,8,kamikaze
