Параметр,Значення
Сценарій,auction
MAP_SEED,999
Раундів консенсусу,0
Втрат дронів,15
Втрат від РЕБ,9
Втрат камікадзе (продуктивних),6
Втрат від батареї (змарнованих),0
Знищено цілей,3
Дронів на знищену ціль,2.0
Аукціонів проведено,9
Перекриття зон (>1 дрон),59
Фінальне покриття (%),41.9
Середній час відновлення (с),0.0
Час місії (с),133.2
