ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
1,Піхота,100.7,103.17,,
2,Піхота,18.47,20.93,31.3,
4,Авто,55.73,58.2,62.53,
8,БМП,28.63,31.1,55.23,
11,Піхота,42.73,45.2,,
