Час (с),Ціль,ID цілі,Bid значення,Переможці
20.93,Піхота,2,D0=0.50; D1=0.50; D2=0.57; D3=0.66; D5=0.57; D6=0.63; D7=0.60; D8=0.50; D9=0.58; D10=0.57; D11=0.63; D12=0.63; D13=0.60; D14=0.47,D3
31.1,БМП,8,D0=0.56; D1=0.58; D2=0.58; D5=0.60; D6=0.60; D7=0.61; D8=0.61; D9=0.52; D10=0.54; D11=0.59; D12=0.49; D14=0.49,"D7, D8, D5"
45.2,Піхота,11,D0=0.46; D1=0.51; D2=0.45; D6=0.44; D10=0.43; D11=0.44; D12=0.46; D14=0.50,D1
56.63,Піхота,11,D0=0.41; D2=0.42; D6=0.41; D10=0.41; D11=0.41; D12=0.42; D14=0.47,D14
58.2,Авто,4,D0=0.42; D2=0.33; D6=0.52; D10=0.53; D11=0.45; D12=0.38,"D10, D6"
63.5,Піхота,11,D0=0.40; D2=0.42; D11=0.39; D12=0.42,D2
83.27,Піхота,11,D0=0.40; D11=0.46; D12=0.43,D11
102.3,Піхота,11,D0=0.33; D12=0.44,D12
103.17,Піхота,1,D0=0.36,D0
