Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,10.5,15
12.0,11.4,15
14.0,13.8,15
16.0,14.8,14
18.0,16.2,14
20.0,17.1,14
22.0,18.6,14
24.0,20.5,14
26.0,21.4,13
28.0,22.9,13
30.0,23.8,13
32.0,25.2,12
34.0,26.2,12
36.0,26.7,11
38.0,27.6,11
40.0,28.6,11
42.0,29.5,10
44.0,30.0,10
46.0,31.0,9
48.0,31.9,9
50.0,32.4,9
52.0,33.3,9
54.0,33.8,9
56.0,35.7,8
58.0,36.2,7
60.0,36.7,6
62.0,36.7,6
64.0,37.1,4
66.0,37.1,4
68.0,37.6,4
70.0,37.6,4
72.0,38.1,4
74.0,38.1,4
76.0,38.1,4
78.0,38.6,4
80.0,39.0,4
82.0,39.5,4
84.0,40.0,3
86.0,40.0,3
88.0,40.0,3
90.0,40.0,3
92.0,40.0,3
94.0,40.5,3
96.0,41.0,3
98.0,41.0,3
100.0,41.0,3
102.0,41.9,3
104.0,41.9,2
106.0,41.9,2
108.0,41.9,2
110.0,41.9,1
112.0,41.9,1
114.0,41.9,1
116.0,41.9,1
118.0,41.9,1
120.0,41.9,1
122.0,41.9,1
124.0,41.9,1
126.0,41.9,1
128.0,41.9,1
130.0,41.9,1
132.0,41.9,1
