Час (с),Ціль,ID цілі,Bid значення,Переможці
39.67,Піхота,10,D0=0.55; D1=0.52; D2=0.49; D3=0.59; D4=0.55; D5=0.57; D6=0.63; D7=0.59; D8=0.57; D9=0.51; D10=0.57; D11=0.60; D12=0.44; D13=0.53; D14=0.45,D6
47.37,Авто,4,D0=0.49; D1=0.51; D2=0.43; D3=0.59; D4=0.53; D5=0.46; D7=0.47; D8=0.53; D9=0.58; D10=0.44; D11=0.57; D12=0.49; D13=0.56; D14=0.52,"D3, D9"
47.47,Піхота,11,D0=0.49; D1=0.51; D2=0.44; D4=0.51; D5=0.45; D7=0.45; D8=0.54; D10=0.43; D11=0.56; D12=0.51; D13=0.54; D14=0.54,D11
55.93,Авто,6,D0=0.48; D1=0.50; D2=0.39; D4=0.46; D5=0.44; D7=0.45; D8=0.53; D10=0.42; D12=0.46; D13=0.50; D14=0.54,"D14, D8"
