Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,10.5,15
12.0,11.4,15
14.0,13.8,15
16.0,14.8,15
18.0,16.2,15
20.0,17.6,15
22.0,19.0,15
24.0,21.4,15
26.0,22.4,15
28.0,23.8,15
30.0,25.2,15
32.0,27.6,15
34.0,29.0,15
36.0,30.0,15
38.0,31.9,15
40.0,33.8,15
42.0,34.8,14
44.0,36.2,14
46.0,37.6,14
48.0,39.0,14
50.0,40.0,13
52.0,41.0,13
54.0,41.9,13
56.0,43.8,13
58.0,44.8,12
60.0,45.7,11
62.0,46.7,11
64.0,47.6,11
66.0,47.6,11
68.0,48.1,11
70.0,48.1,11
72.0,48.6,10
74.0,48.6,10
76.0,48.6,10
78.0,48.6,10
80.0,48.6,10
82.0,48.6,10
84.0,48.6,10
86.0,48.6,9
88.0,48.6,9
90.0,48.6,9
92.0,48.6,9
94.0,48.6,9
96.0,48.6,9
98.0,48.6,9
100.0,48.6,9
102.0,48.6,9
104.0,48.6,9
106.0,48.6,9
108.0,48.6,9
110.0,48.6,9
112.0,48.6,9
114.0,48.6,9
116.0,48.6,9
118.0,48.6,9
120.0,48.6,9
122.0,48.6,9
124.0,48.6,9
126.0,48.6,9
128.0,48.6,9
130.0,48.6,9
132.0,48.6,9
134.0,48.6,9
136.0,48.6,9
138.0,48.6,9
140.0,48.6,9
142.0,48.6,9
144.0,48.6,9
146.0,48.6,9
148.0,48.6,9
150.0,48.6,9
152.0,48.6,9
154.0,48.6,9
156.0,48.6,9
158.0,48.6,9
160.0,48.6,9
162.0,48.6,9
164.0,48.6,9
166.0,48.6,9
168.0,48.6,9
170.0,48.6,9
172.0,48.6,9
174.0,48.6,9
176.0,48.6,9
178.0,48.6,9
180.0,48.6,9
182.0,48.6,9
184.0,48.6,9
