Параметр,Значення
Сценарій,auction
MAP_SEED,256
Раундів консенсусу,0
Втрат дронів,6
Втрат від РЕБ,0
Втрат камікадзе (продуктивних),6
Втрат від батареї (змарнованих),0
Знищено цілей,4
Дронів на знищену ціль,1.5
Аукціонів проведено,4
Перекриття зон (>1 дрон),86
Фінальне покриття (%),48.6
Середній час відновлення (с),N/A
Час місії (с),184.4
