ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
4,Авто,44.9,47.37,59.8,
6,Авто,53.47,55.93,84.33,
10,Піхота,37.2,39.67,41.67,
11,Піхота,45.0,47.47,70.83,
