Параметр,Значення
Сценарій,swarm_only
MAP_SEED,999
Раундів консенсусу,0
Втрат дронів,15
Втрат від РЕБ,15
Втрат камікадзе (продуктивних),0
Втрат від батареї (змарнованих),0
Знищено цілей,0
Дронів на знищену ціль,N/A
Аукціонів проведено,0
Перекриття зон (>1 дрон),110
Фінальне покриття (%),99.0
Середній час відновлення (с),N/A
Час місії (с),220.7
