ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
0,Піхота,63.97,66.43,,
1,Піхота,93.93,96.4,,
2,Піхота,15.23,17.7,,
3,Піхота,69.13,71.6,,
4,Авто,49.43,51.9,,
5,Авто,103.6,106.07,,
6,Авто,48.27,50.73,,
7,БМП,139.67,142.13,,
8,БМП,24.67,27.13,,
10,Піхота,62.43,64.9,,
11,Піхота,39.3,41.77,,
