Час (с),ID дрона,Причина
17.73,4,reb
17.8,3,reb
30.83,7,reb
34.47,12,reb
39.9,2,reb
95.47,10,reb
98.3,11,reb
102.63,0,reb
107.8,1,reb
111.57,5,reb
203.83,6,reb
210.0,8,reb
214.4,9,reb
220.13,13,reb
220.7,14,reb
