Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,11.4,15
12.0,13.8,15
14.0,14.8,15
16.0,16.2,15
18.0,18.1,13
20.0,21.0,13
22.0,21.4,13
24.0,23.3,13
26.0,24.3,13
28.0,25.2,13
30.0,28.1,13
32.0,28.6,12
34.0,31.0,12
36.0,32.4,11
38.0,33.8,11
40.0,35.7,10
42.0,36.7,10
44.0,39.0,10
46.0,40.5,10
48.0,43.3,10
50.0,43.8,10
52.0,45.2,10
54.0,47.1,10
56.0,49.0,10
58.0,51.4,10
60.0,51.9,10
62.0,53.8,10
64.0,54.8,10
66.0,55.7,10
68.0,57.6,10
70.0,58.6,10
72.0,60.0,10
74.0,61.9,10
76.0,62.9,10
78.0,64.3,10
80.0,66.2,10
82.0,67.6,10
84.0,68.1,10
86.0,69.0,10
88.0,70.0,10
90.0,71.0,10
92.0,71.9,10
94.0,72.9,10
96.0,72.9,9
98.0,73.8,9
100.0,74.8,8
102.0,75.2,8
104.0,76.7,7
106.0,76.7,7
108.0,77.6,6
110.0,78.6,6
112.0,78.6,5
114.0,80.0,5
116.0,80.5,5
118.0,81.0,5
120.0,82.4,5
122.0,82.4,5
124.0,83.8,5
126.0,84.3,5
128.0,85.2,5
130.0,86.2,5
132.0,86.7,5
134.0,88.1,5
136.0,88.1,5
138.0,89.0,5
140.0,90.0,5
142.0,90.5,5
144.0,91.9,5
146.0,91.9,5
148.0,92.9,5
150.0,93.8,5
152.0,94.3,5
154.0,95.2,5
156.0,96.2,5
158.0,97.1,5
160.0,97.6,5
162.0,98.1,5
164.0,98.6,5
166.0,98.6,5
168.0,98.6,5
170.0,98.6,5
172.0,98.6,5
174.0,98.6,5
176.0,98.6,5
178.0,98.6,5
180.0,98.6,5
182.0,98.6,5
184.0,98.6,5
186.0,98.6,5
188.0,98.6,5
190.0,98.6,5
192.0,98.6,5
194.0,98.6,5
196.0,98.6,5
198.0,98.6,5
200.0,98.6,5
202.0,98.6,5
204.0,98.6,4
206.0,98.6,4
208.0,98.6,4
210.0,99.0,3
212.0,99.0,3
214.0,99.0,3
216.0,99.0,2
218.0,99.0,2
220.0,99.0,2
