Час (с),ID дрона,Причина
39.67,3,kamikaze
67.07,10,reb
68.93,12,reb
73.77,11,reb
77.1,8,reb
77.13,13,kamikaze
83.77,7,reb
86.23,14,kamikaze
93.57,5,reb
102.27,1,reb
116.73,2,reb
126.77,6,reb
144.23,9,kamikaze
180.67,0,reb
