Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,7.6,15
8.0,8.1,15
10.0,8.1,15
12.0,8.6,15
14.0,8.6,15
16.0,9.0,15
18.0,9.0,15
20.0,9.5,15
22.0,10.0,15
24.0,10.0,15
26.0,11.0,15
28.0,11.0,15
30.0,11.4,15
32.0,11.9,15
34.0,12.4,15
36.0,13.8,15
38.0,13.8,15
40.0,14.3,14
42.0,14.8,14
44.0,15.2,14
46.0,16.2,14
48.0,16.2,14
50.0,17.6,14
52.0,17.6,14
54.0,19.0,14
56.0,19.5,14
58.0,19.5,14
60.0,20.5,14
62.0,21.0,14
64.0,21.9,14
66.0,24.3,14
68.0,24.3,13
70.0,24.8,12
72.0,24.8,12
74.0,25.2,11
76.0,25.2,11
78.0,25.2,9
80.0,25.2,9
82.0,26.2,9
84.0,26.2,8
86.0,26.2,8
88.0,26.2,7
90.0,26.7,7
92.0,26.7,7
94.0,26.7,6
96.0,26.7,6
98.0,26.7,6
100.0,26.7,6
102.0,26.7,6
104.0,26.7,5
106.0,26.7,5
108.0,26.7,5
110.0,26.7,5
112.0,26.7,5
114.0,26.7,5
116.0,26.7,5
118.0,26.7,4
120.0,26.7,4
122.0,26.7,4
124.0,26.7,4
126.0,26.7,4
128.0,26.7,3
130.0,26.7,3
132.0,26.7,3
134.0,26.7,3
136.0,26.7,3
138.0,26.7,3
140.0,26.7,3
142.0,26.7,3
144.0,26.7,3
146.0,26.7,2
148.0,26.7,2
150.0,26.7,2
152.0,26.7,2
154.0,26.7,2
156.0,26.7,2
158.0,26.7,2
160.0,27.1,2
162.0,27.1,2
164.0,27.1,2
166.0,27.1,2
168.0,27.1,2
170.0,27.1,2
172.0,27.1,2
174.0,27.1,2
176.0,27.1,2
178.0,27.1,2
180.0,27.1,2
182.0,27.1,1
184.0,27.1,1
186.0,27.1,1
188.0,27.1,1
190.0,27.1,1
192.0,27.1,1
194.0,27.1,1
196.0,27.1,1
198.0,27.1,1
200.0,27.1,1
202.0,27.1,1
204.0,27.1,1
206.0,27.1,1
208.0,27.1,1
210.0,27.1,1
212.0,27.1,1
214.0,27.1,1
216.0,27.1,1
218.0,27.1,1
220.0,27.1,1
222.0,27.1,1
224.0,27.1,1
226.0,27.1,1
228.0,27.1,1
230.0,27.1,1
232.0,27.1,1
234.0,27.1,1
236.0,27.1,1
238.0,27.1,1
240.0,27.1,1
242.0,27.1,1
244.0,27.1,1
