Параметр,Значення
Сценарій,leader_follower
MAP_SEED,7
Раундів консенсусу,0
Втрат дронів,14
Втрат від РЕБ,10
Втрат камікадзе (продуктивних),4
Втрат від батареї (змарнованих),0
Знищено цілей,2
Дронів на знищену ціль,2.0
Аукціонів проведено,0
Перекриття зон (>1 дрон),51
Фінальне покриття (%),27.1
Середній час відновлення (с),17.47
Час місії (с),244.3
