Параметр,Значення
Сценарій,leader_follower
MAP_SEED,42
Раундів консенсусу,0
Втрат дронів,4
Втрат від РЕБ,0
Втрат камікадзе (продуктивних),4
Втрат від батареї (змарнованих),0
Знищено цілей,3
Дронів на знищену ціль,1.33
Аукціонів проведено,0
Перекриття зон (>1 дрон),44
Фінальне покриття (%),26.2
Середній час відновлення (с),N/A
Час місії (с),156.6
