Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,7.6,15
8.0,8.1,15
10.0,8.1,15
12.0,8.6,15
14.0,8.6,15
16.0,9.0,15
18.0,9.0,15
20.0,9.5,15
22.0,10.0,15
24.0,10.0,15
26.0,11.0,15
28.0,11.0,15
30.0,11.4,15
32.0,11.4,15
34.0,11.9,15
36.0,12.9,14
38.0,12.9,14
40.0,13.3,14
42.0,13.8,13
44.0,14.3,13
46.0,14.3,12
48.0,14.3,12
50.0,14.8,12
52.0,14.8,12
54.0,15.7,12
56.0,16.2,12
58.0,16.7,11
60.0,17.6,11
62.0,17.6,11
64.0,18.6,11
66.0,20.0,11
68.0,20.0,11
70.0,21.4,11
72.0,21.9,11
74.0,21.9,11
76.0,22.9,11
78.0,22.9,11
80.0,23.3,11
82.0,23.3,11
84.0,23.3,11
86.0,24.3,11
88.0,24.8,11
90.0,24.8,11
92.0,25.2,11
94.0,25.7,11
96.0,26.2,11
98.0,26.2,11
100.0,26.2,11
102.0,26.2,11
104.0,26.2,11
106.0,26.2,11
108.0,26.2,11
110.0,26.2,11
112.0,26.2,11
114.0,26.2,11
116.0,26.2,11
118.0,26.2,11
120.0,26.2,11
122.0,26.2,11
124.0,26.2,11
126.0,26.2,11
128.0,26.2,11
130.0,26.2,11
132.0,26.2,11
134.0,26.2,11
136.0,26.2,11
138.0,26.2,11
140.0,26.2,11
142.0,26.2,11
144.0,26.2,11
146.0,26.2,11
148.0,26.2,11
150.0,26.2,11
152.0,26.2,11
154.0,26.2,11
156.0,26.2,11
