ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
0,Піхота,34.23,36.7,61.87,
1,Піхота,9.17,11.63,13.0,
3,Піхота,28.83,31.3,45.67,
5,Авто,56.23,58.7,82.47,9
6,Авто,72.4,74.87,90.13,
7,БМП,68.97,71.43,96.67,10;0
8,БМП,149.43,151.9,,
10,Піхота,142.93,145.4,147.6,
11,Піхота,153.27,155.73,,
