Час (с),ID дрона,Причина
13.0,2,kamikaze
32.57,3,reb
45.67,6,kamikaze
59.53,8,kamikaze
61.87,7,kamikaze
72.43,5,kamikaze
74.87,4,kamikaze
76.97,14,kamikaze
78.47,0,reb
82.47,1,kamikaze
90.13,13,kamikaze
96.67,11,kamikaze
147.6,10,kamikaze
154.93,9,kamikaze
161.7,12,kamikaze
