Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.5,15
8.0,10.5,15
10.0,12.4,15
12.0,13.8,15
14.0,13.8,14
16.0,15.2,14
18.0,17.1,14
20.0,19.0,14
22.0,19.5,14
24.0,21.4,14
26.0,21.4,14
28.0,22.4,14
30.0,24.3,14
32.0,25.2,14
34.0,26.2,13
36.0,26.7,13
38.0,28.6,13
40.0,29.5,13
42.0,31.4,13
44.0,32.9,13
46.0,32.9,12
48.0,35.7,12
50.0,36.7,12
52.0,37.1,12
54.0,39.0,12
56.0,40.5,12
58.0,41.4,12
60.0,41.9,11
62.0,42.9,10
64.0,44.3,10
66.0,45.2,10
68.0,46.7,10
70.0,48.1,10
72.0,48.6,10
74.0,50.5,9
76.0,52.9,8
78.0,53.3,7
80.0,54.8,6
82.0,56.2,6
84.0,56.7,5
86.0,56.7,5
88.0,57.1,5
90.0,58.1,5
92.0,58.6,4
94.0,59.5,4
96.0,59.5,4
98.0,60.5,3
100.0,60.5,3
102.0,60.5,3
104.0,61.4,3
106.0,61.4,3
108.0,62.4,3
110.0,62.4,3
112.0,62.9,3
114.0,63.3,3
116.0,63.3,3
118.0,64.3,3
120.0,64.3,3
122.0,64.8,3
124.0,65.7,3
126.0,65.7,3
128.0,67.1,3
130.0,67.1,3
132.0,68.1,3
134.0,68.6,3
136.0,69.0,3
138.0,70.0,3
140.0,70.0,3
142.0,71.0,3
144.0,71.4,3
146.0,71.9,3
148.0,72.4,2
150.0,72.4,2
152.0,73.3,2
154.0,73.3,2
156.0,74.3,1
158.0,74.3,1
160.0,74.3,1
