Час (с),Ціль,ID цілі,Bid значення,Переможці
11.63,Піхота,1,D0=0.54; D1=0.64; D2=0.65,D2
31.3,Піхота,3,D6=0.68; D7=0.66; D8=0.56,D6
36.7,Піхота,0,D7=0.60; D8=0.51,D7
58.7,Авто,5,D8=0.49,D8
58.7,Авто,5,D0=0.45; D1=0.46; D4=0.44; D5=0.44; D9=0.49; D10=0.41; D11=0.44; D12=0.42; D13=0.42; D14=0.41,"D9, D1"
71.43,БМП,7,D4=0.52; D5=0.52,"D5, D4"
71.43,БМП,7,D0=0.41; D10=0.43; D11=0.45; D12=0.32; D13=0.34; D14=0.36,"D11, D10, D0"
74.87,Авто,6,D12=0.39; D13=0.44; D14=0.48,"D14, D13"
145.4,Піхота,10,D9=0.45; D10=0.45,D10
151.9,БМП,8,D9=0.41,D9
151.9,БМП,8,D12=0.38,D12
