Параметр,Значення
Сценарій,hybrid
MAP_SEED,7
Раундів консенсусу,80
Втрат дронів,15
Втрат від РЕБ,2
Втрат камікадзе (продуктивних),13
Втрат від батареї (змарнованих),0
Знищено цілей,7
Дронів на знищену ціль,1.86
Аукціонів проведено,11
Перекриття зон (>1 дрон),53
Фінальне покриття (%),74.3
Середній час відновлення (с),18.2
Час місії (с),161.7
