Час (с),ID дрона,Причина
27.4,7,kamikaze
37.77,1,kamikaze
39.33,2,kamikaze
56.37,3,reb
59.8,5,reb
67.83,4,kamikaze
69.93,9,reb
72.87,12,reb
73.23,8,reb
74.67,11,reb
85.47,14,reb
