Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,7.6,15
8.0,8.1,15
10.0,8.1,15
12.0,8.6,15
14.0,8.6,15
16.0,9.0,15
18.0,9.0,15
20.0,9.5,15
22.0,10.0,15
24.0,10.0,15
26.0,11.0,15
28.0,11.0,14
30.0,11.4,14
32.0,11.9,14
34.0,12.4,14
36.0,13.3,14
38.0,13.3,13
40.0,14.3,12
42.0,14.3,12
44.0,15.2,12
46.0,15.7,12
48.0,15.7,12
50.0,16.7,12
52.0,16.7,12
54.0,17.1,12
56.0,17.6,12
58.0,17.6,11
60.0,18.1,10
62.0,18.1,10
64.0,18.6,10
66.0,18.6,10
68.0,20.0,9
70.0,20.5,8
72.0,21.0,8
74.0,21.9,6
76.0,21.9,5
78.0,21.9,5
80.0,21.9,5
82.0,21.9,5
84.0,22.9,5
86.0,22.9,4
88.0,22.9,4
90.0,22.9,4
92.0,22.9,4
94.0,22.9,4
96.0,22.9,4
98.0,22.9,4
100.0,22.9,4
102.0,22.9,4
104.0,22.9,4
106.0,22.9,4
108.0,22.9,4
110.0,22.9,4
112.0,22.9,4
114.0,22.9,4
116.0,22.9,4
118.0,22.9,4
120.0,22.9,4
122.0,22.9,4
124.0,22.9,4
126.0,22.9,4
128.0,22.9,4
130.0,22.9,4
132.0,22.9,4
134.0,22.9,4
136.0,22.9,4
138.0,22.9,4
140.0,22.9,4
142.0,22.9,4
144.0,22.9,4
146.0,22.9,4
148.0,22.9,4
150.0,22.9,4
152.0,22.9,4
154.0,22.9,4
156.0,22.9,4
158.0,22.9,4
160.0,23.3,4
162.0,23.3,4
164.0,23.3,4
166.0,23.8,4
