Параметр,Значення
Сценарій,leader_follower
MAP_SEED,123
Раундів консенсусу,0
Втрат дронів,11
Втрат від РЕБ,7
Втрат камікадзе (продуктивних),4
Втрат від батареї (змарнованих),0
Знищено цілей,3
Дронів на знищену ціль,1.33
Аукціонів проведено,0
Перекриття зон (>1 дрон),39
Фінальне покриття (%),23.8
Середній час відновлення (с),N/A
Час місії (с),167.9
