Час (с),ID дрона,Причина
31.8,2,reb
32.47,3,reb
35.3,6,reb
36.6,7,reb
39.9,11,reb
42.43,10,reb
73.93,5,reb
74.03,0,reb
75.13,4,reb
77.2,1,reb
127.23,12,reb
