ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
0,Піхота,109.03,111.5,,
1,Піхота,47.07,49.53,,
2,Піхота,13.53,16.0,,
3,Піхота,80.93,83.4,,
4,Авто,22.87,25.33,,
5,Авто,70.33,72.8,,
6,Авто,10.73,13.2,,
7,БМП,107.87,110.33,,
8,БМП,52.47,54.93,,
10,Піхота,33.23,35.7,,
11,Піхота,41.47,43.93,,
