Параметр,Значення
Сценарій,swarm_only
MAP_SEED,123
Раундів консенсусу,0
Втрат дронів,11
Втрат від РЕБ,11
Втрат камікадзе (продуктивних),0
Втрат від батареї (змарнованих),0
Знищено цілей,0
Дронів на знищену ціль,N/A
Аукціонів проведено,0
Перекриття зон (>1 дрон),84
Фінальне покриття (%),97.6
Середній час відновлення (с),N/A
Час місії (с),209.1
