Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,11.4,15
12.0,13.8,15
14.0,14.8,15
16.0,16.2,15
18.0,18.1,15
20.0,21.0,15
22.0,22.4,15
24.0,24.3,15
26.0,25.7,15
28.0,27.1,15
30.0,29.5,15
32.0,31.4,14
34.0,33.8,13
36.0,34.8,12
38.0,36.7,11
40.0,38.1,10
42.0,39.5,10
44.0,41.9,9
46.0,43.3,9
48.0,45.2,9
50.0,46.2,9
52.0,47.6,9
54.0,49.0,9
56.0,51.0,9
58.0,52.4,9
60.0,53.8,9
62.0,55.7,9
64.0,56.7,9
66.0,58.6,9
68.0,60.0,9
70.0,61.9,9
72.0,63.3,9
74.0,64.3,8
76.0,65.7,6
78.0,66.2,5
80.0,67.1,5
82.0,68.1,5
84.0,68.6,5
86.0,69.5,5
88.0,70.0,5
90.0,71.0,5
92.0,71.4,5
94.0,72.4,5
96.0,72.4,5
98.0,72.9,5
100.0,73.8,5
102.0,74.3,5
104.0,75.7,5
106.0,75.7,5
108.0,76.7,5
110.0,77.6,5
112.0,77.6,5
114.0,79.0,5
116.0,79.5,5
118.0,80.0,5
120.0,81.4,5
122.0,81.4,5
124.0,82.9,5
126.0,83.3,5
128.0,84.3,4
130.0,85.2,4
132.0,85.7,4
134.0,87.1,4
136.0,87.1,4
138.0,88.1,4
140.0,89.0,4
142.0,89.5,4
144.0,91.0,4
146.0,91.0,4
148.0,91.9,4
150.0,92.9,4
152.0,93.3,4
154.0,94.3,4
156.0,95.2,4
158.0,96.2,4
160.0,96.7,4
162.0,97.1,4
164.0,97.6,4
166.0,97.6,4
168.0,97.6,4
170.0,97.6,4
172.0,97.6,4
174.0,97.6,4
176.0,97.6,4
178.0,97.6,4
180.0,97.6,4
182.0,97.6,4
184.0,97.6,4
186.0,97.6,4
188.0,97.6,4
190.0,97.6,4
192.0,97.6,4
194.0,97.6,4
196.0,97.6,4
198.0,97.6,4
200.0,97.6,4
202.0,97.6,4
204.0,97.6,4
206.0,97.6,4
208.0,97.6,4
