Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.0,15
8.0,10.0,15
10.0,10.5,15
12.0,11.4,15
14.0,13.8,15
16.0,14.3,14
18.0,15.7,14
20.0,16.7,14
22.0,18.1,13
24.0,19.5,13
26.0,21.0,13
28.0,21.9,13
30.0,23.3,13
32.0,25.2,13
34.0,26.7,12
36.0,28.1,11
38.0,29.0,11
40.0,31.0,10
42.0,31.4,8
44.0,31.4,8
46.0,32.9,8
48.0,32.9,8
50.0,33.8,8
52.0,34.3,8
54.0,34.3,8
56.0,35.2,7
58.0,35.2,7
60.0,35.7,7
62.0,36.2,7
64.0,36.7,6
66.0,37.6,6
68.0,37.6,6
70.0,39.0,6
72.0,39.0,5
74.0,39.0,4
76.0,40.0,4
78.0,40.0,4
80.0,41.0,3
82.0,41.0,3
84.0,41.0,3
86.0,41.4,3
88.0,41.4,3
90.0,41.9,3
92.0,41.9,3
94.0,41.9,3
96.0,42.4,3
98.0,42.4,2
100.0,42.9,2
102.0,42.9,2
104.0,43.3,2
106.0,43.3,2
108.0,43.3,2
110.0,43.8,2
112.0,43.8,2
114.0,44.3,2
116.0,44.3,2
118.0,44.3,2
120.0,44.8,2
122.0,44.8,2
124.0,44.8,2
126.0,44.8,2
128.0,44.8,2
130.0,44.8,2
132.0,44.8,2
134.0,44.8,2
136.0,44.8,2
138.0,44.8,2
140.0,44.8,2
142.0,44.8,2
144.0,44.8,2
146.0,44.8,2
148.0,44.8,2
150.0,44.8,2
152.0,44.8,2
154.0,44.8,2
156.0,44.8,2
158.0,44.8,2
160.0,44.8,2
162.0,44.8,2
164.0,44.8,2
166.0,44.8,2
168.0,44.8,2
170.0,44.8,1
