ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
1,Піхота,66.9,69.37,70.7,
2,Піхота,16.8,19.27,20.1,
4,Авто,36.7,39.17,,
6,Авто,10.6,13.07,,
10,Піхота,31.77,34.23,35.63,
11,Піхота,50.1,52.57,54.13,
