Час (с),ID дрона,Причина
15.17,4,kamikaze
20.1,6,kamikaze
33.47,7,reb
35.63,9,kamikaze
39.9,11,reb
40.3,3,reb
40.4,5,kamikaze
54.13,13,kamikaze
62.07,1,reb
70.7,10,kamikaze
73.8,8,reb
78.03,12,reb
97.33,2,reb
169.03,0,reb
