Параметр,Значення
Сценарій,hybrid
MAP_SEED,999
Раундів консенсусу,72
Втрат дронів,15
Втрат від РЕБ,3
Втрат камікадзе (продуктивних),12
Втрат від батареї (змарнованих),0
Знищено цілей,5
Дронів на знищену ціль,2.4
Аукціонів проведено,10
Перекриття зон (>1 дрон),45
Фінальне покриття (%),61.4
Середній час відновлення (с),0.0
Час місії (с),144.4
