Час (с),Покриття (%),Активних дронів
2.0,7.1,15
4.0,7.1,15
6.0,10.5,15
8.0,10.5,15
10.0,12.9,15
12.0,13.8,15
14.0,13.8,15
16.0,15.7,15
18.0,17.1,15
20.0,18.6,14
22.0,18.6,14
24.0,20.5,13
26.0,20.5,13
28.0,21.0,13
30.0,22.9,13
32.0,23.3,12
34.0,24.8,12
36.0,25.2,12
38.0,27.1,11
40.0,28.1,11
42.0,29.5,11
44.0,31.0,11
46.0,31.0,11
48.0,32.9,11
50.0,34.3,11
52.0,34.8,11
54.0,35.7,10
56.0,37.1,9
58.0,38.1,7
60.0,38.6,7
62.0,40.0,7
64.0,41.0,7
66.0,41.4,5
68.0,43.3,5
70.0,43.8,5
72.0,45.2,5
74.0,46.2,5
76.0,46.7,5
78.0,47.1,5
80.0,48.6,4
82.0,49.5,4
84.0,50.5,4
86.0,51.0,4
88.0,51.9,4
90.0,52.9,3
92.0,53.3,3
94.0,54.3,3
96.0,54.8,3
98.0,55.7,3
100.0,55.7,3
102.0,56.2,2
104.0,56.7,2
106.0,57.1,2
108.0,57.6,2
110.0,57.6,2
112.0,58.6,2
114.0,58.6,2
116.0,58.6,1
118.0,59.0,1
120.0,59.0,1
122.0,59.5,1
124.0,60.0,1
126.0,60.0,1
128.0,60.0,1
130.0,60.5,1
132.0,60.5,1
134.0,60.5,1
136.0,60.5,1
138.0,61.0,1
140.0,61.0,1
142.0,61.0,1
144.0,61.4,1
