ID,Тип,Виявлення (с),Класифікація (с),Знищення (с),Дрони
2,Піхота,15.23,17.7,19.3,
4,Авто,49.43,51.9,55.5,
5,Авто,85.2,87.67,101.87,
6,Авто,54.6,57.07,64.83,
7,БМП,111.6,114.07,,
8,БМП,18.97,21.43,,
10,Піхота,73.8,76.27,79.6,
