Час (с),Ціль,ID цілі,Bid значення,Переможці
17.7,Піхота,2,D0=0.54; D1=0.59; D2=0.65,D2
21.43,БМП,8,D3=0.56; D4=0.67; D5=0.54,"D4, D3, D5"
37.43,БМП,8,D0=0.24; D1=0.25; D6=0.32; D7=0.31; D8=0.32; D9=0.26; D10=0.30; D11=0.32; D12=0.31; D13=0.30; D14=0.24,D11
51.9,Авто,4,D0=0.54; D1=0.53,"D0, D1"
56.03,БМП,8,D6=0.25; D7=0.25; D8=0.25; D9=0.25; D10=0.21; D12=0.22; D13=0.24; D14=0.20,D7
57.07,Авто,6,D6=0.55; D8=0.58,"D8, D6"
76.27,Піхота,10,D9=0.51; D10=0.49,D9
87.67,Авто,5,D12=0.38; D13=0.43; D14=0.47,"D14, D13"
114.07,БМП,7,D12=0.45,D12
114.07,БМП,7,D10=0.36,D10
