Час (с),ID дрона,Причина
19.3,2,kamikaze
23.7,3,kamikaze
30.47,5,kamikaze
37.43,4,reb
53.0,0,kamikaze
55.5,1,kamikaze
56.03,11,reb
57.83,8,kamikaze
64.27,7,reb
64.83,6,kamikaze
79.6,9,kamikaze
89.1,14,kamikaze
101.87,13,kamikaze
114.83,12,kamikaze
144.4,10,kamikaze
